Term name	P-D Coefficient
heparan sulfate 2-O-sulfotransferase activity	0.000
chondroitin 2-O-sulfotransferase activity	0.000
chondroitin 6-sulfotransferase activity	0.000
glycochenodeoxycholate sulfotransferase activity	0.000
scymnol sulfotransferase activity	0.000
petromyzonol sulfotransferase activity	0.000
thiol sulfotransferase activity	0.000
phenanthrol sulfotransferase activity	0.000
2-phenanthrol sulfotransferase activity	0.000
9-phenanthrol sulfotransferase activity	0.000
4-phenanthrol sulfotransferase activity	0.000
3-phenanthrol sulfotransferase activity	0.000
1-phenanthrol sulfotransferase activity	0.000
trans-3,4-dihydrodiolphenanthrene sulfotransferase activity	0.000
trans-9R,10R-dihydrodiolphenanthrene sulfotransferase activity	0.000
tyrosine-ester sulfotransferase activity	0.000
HNK-1 sulfotransferase activity	0.000
protein-tyrosine sulfotransferase activity	0.000
estrone sulfotransferase activity	0.000
aryl sulfotransferase activity	0.000
alcohol sulfotransferase activity	0.000
cholesterol sulfotransferase activity	0.000
phosphotransferase activity, paired acceptors	0.000
pyruvate, phosphate dikinase activity	0.000
UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity	0.000
mannose-ethanolamine phosphotransferase activity	0.000
CP2 mannose-ethanolamine phosphotransferase activity	0.000
adenosylcobinamide-GDP ribazoletransferase activity	0.000
phosphatidylcholine synthase activity	0.000
membrane-oligosaccharide glycerophosphotransferase activity	0.000
serine-phosphoethanolamine synthase activity	0.000
phosphomannan mannosephosphotransferase activity	0.000
undecaprenyl-phosphate galactose phosphotransferase activity	0.000
1-alkenyl-2-acylglycerol choline phosphotransferase activity	0.000
UDP-glucose-glycoprotein glucose phosphotransferase activity	0.000
UDP-galactose-UDP-N-acetylglucosamine galactose phosphotransferase activity	0.000
CDP-ribitol ribitolphosphotransferase activity	0.000
CDP-glycerol glycerophosphotransferase activity	0.000
sphingosine cholinephosphotransferase activity	0.000
triphosphoribosyl-dephospho-CoA synthase activity	0.000
phosphatidylethanolamine:Kdo2-lipid A phosphoethanolamine transferase activity	0.000
archaetidylserine synthase activity	0.000
UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity	0.000
phosphatidyltransferase activity	0.000
phosphatidylglycerol-phosphatidylethanolamine phosphatidyltransferase activity	0.000
CDP-diacylglycerol-phosphatidylglycerol phosphatidyltransferase activity	0.000
cardiolipin synthase activity	0.000
GDP-mannose:serine-protein mannose-1-phosphotransferase activity	0.000
UDP-N-acetylglucosamine:serine-protein N-acetylglucosamine-1-phosphotransferase activity	0.000
CDP-alcohol phosphatidyltransferase activity	0.000
CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity	0.000
ethanolaminephosphotransferase activity	0.000
diacylglycerol cholinephosphotransferase activity	0.000
CDP-diacylglycerol-serine O-phosphatidyltransferase activity	0.000
CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity	0.000
phospho-N-acetylmuramoyl-pentapeptide-transferase activity	0.000
phosphatidylglycerol-membrane-oligosaccharide glycerophosphotransferase activity	0.000
cobalamin 5'-phosphate synthase activity	0.000
carboxyvinyl-carboxyphosphonate phosphorylmutase activity	0.000
UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity	0.000
UDP-N-acetylgalactosamine diphosphorylase activity	0.000
UTP:xylose-1-phosphate uridylyltransferase activity	0.000
UTP:galactose-1-phosphate uridylyltransferase activity	0.000
UTP:arabinose-1-phosphate uridylyltransferase activity	0.000
glucuronate-1-phosphate uridylyltransferase activity	0.000
[protein-PII] uridylyltransferase activity	0.000
UDP-glucose:hexose-1-phosphate uridylyltransferase activity	0.000
UDP-N-acetylglucosamine diphosphorylase activity	0.000
GTP:coenzyme F420 guanyltransferase activity	0.000
guanosine-triphosphate guanylyltransferase activity	0.000
glucose-1-phosphate guanylyltransferase activity	0.000
fucose-1-phosphate guanylyltransferase activity	0.000
protein guanylyltransferase activity	0.000
phospholactate guanylyltransferase activity	0.000
galactose-1-phosphate guanylyltransferase (GDP) activity	0.000
glucose-1-phosphate guanylyltransferase (GDP) activity	0.000
GDP-galactose:myoinositol-1-phosphate guanylyltransferase activity	0.000
GDP-galactose:glucose-1-phosphate guanylyltransferase activity	0.000
GDP-galactose:mannose-1-phosphate guanylyltransferase activity	0.000
mannose-1-phosphate guanylyltransferase (GDP) activity	0.000
cobinamide phosphate guanylyltransferase activity	0.000
mRNA guanylyltransferase activity	0.000
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity	0.000
N-methylphosphoethanolamine cytidylyltransferase activity	0.000
D-ribitol-5-phosphate cytidylyltransferase activity	0.000
glycerol-3-phosphate cytidylyltransferase activity	0.000
glucose-1-phosphate cytidylyltransferase activity	0.000
CTP:2,3-di-O-geranylgeranyl-sn-glycero-1-phosphate cytidyltransferase activity	0.000
tRNA cytidylyltransferase activity	0.000
N-acylneuraminate cytidylyltransferase activity	0.000
3-deoxy-manno-octulosonate cytidylyltransferase activity	0.000
phosphatidate cytidylyltransferase activity	0.000
choline-phosphate cytidylyltransferase activity	0.000
ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity	0.000
phenylalanine adenylyltransferase activity	0.000
anthranilate adenylyltransferase activity	0.000
adenylylsulfate-ammonia adenylyltransferase activity	0.000
aldose-1-phosphate adenylyltransferase activity	0.000
ribose-5-phosphate adenylyltransferase activity	0.000
ATP:coenzyme F420 adenylyltransferase activity	0.000
heptose-1-phosphate adenylyltransferase activity	0.000
[glutamate-ammonia-ligase] adenylyltransferase activity	0.000
(2,3-dihydroxybenzoyl)adenylate synthase activity	0.000
tRNA adenylyltransferase activity	0.000
sulfate adenylyltransferase activity	0.000
sulfate adenylyltransferase (ATP) activity	0.000
sulfate adenylyltransferase (ADP) activity	0.000
FMN adenylyltransferase activity	0.000
ATP adenylyltransferase activity	0.000
cyclic-GMP-AMP synthase activity	0.000
CTP:3'-cytidine-tRNA cytidylyltransferase activity	0.000
CTP:tRNA cytidylyltransferase activity	0.000
diguanylate cyclase activity	0.000
holo-citrate lyase synthase activity	0.000
aldose-1-phosphate nucleotidyltransferase activity	0.000
galactose-1-phosphate thymidylyltransferase activity	0.000
nucleoside-triphosphate-hexose-1-phosphate nucleotidyltransferase activity	0.000
aminoglycoside nucleotidyltransferase activity	0.000
aminoglycoside 3''-adenylyltransferase activity	0.000
aminoglycoside 2''-nucleotidyltransferase activity	0.000
RNA-directed RNA polymerase activity	0.000
DNA primase activity	0.000
telomeric template RNA reverse transcriptase activity	0.000
deoxycytidyl transferase activity	0.000
tRNA nucleotidyltransferase activity	0.000
glucose-1-phosphate thymidylyltransferase activity	0.000
DNA nucleotidylexotransferase activity	0.000
diphosphotransferase activity	0.000
nucleotide diphosphokinase activity	0.000
GTP diphosphokinase activity	0.000
thiamine diphosphokinase activity	0.000
ribose phosphate diphosphokinase activity	0.000
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	0.000
dolichyl-diphosphate-polyphosphate phosphotransferase activity	0.000
3-phosphoglyceroyl-phosphate-polyphosphate phosphotransferase activity	0.000
polyphosphate:AMP phosphotransferase activity	0.000
diphosphoinositol-pentakisphosphate kinase activity	0.000
phosphoenolpyruvate-protein phosphotransferase activity	0.000
phosphotransferase activity, carboxyl group as acceptor	0.000
prenol kinase activity	0.000
geranylgeraniol kinase activity	0.000
CTP:geranylgeraniol kinase activity	0.000
geraniol kinase activity	0.000
farnesol kinase activity	0.000
CTP:2-trans,-6-trans-farnesol kinase activity	0.000
phosphocholine transferase activity	0.000
L-seryl-tRNA(Sec) kinase activity	0.000
phosphoserine:homoserine phosphotransferase activity	0.000
LPPG:FO 2-phospho-L-lactate transferase activity	0.000
protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	0.000
protein-N(PI)-phosphohistidine-beta-glucoside phosphotransferase system transporter activity	0.000
protein-N(PI)-phosphohistidine-N-acetylgalactosamine phosphotransferase system transporter activity	0.000
protein-N(PI)-phosphohistidine-N-acetylglucosamine phosphotransferase system transporter activity	0.000
protein-N(PI)-phosphohistidine-trehalose phosphotransferase system transporter activity	0.000
protein-N(PI)-phosphohistidine-sucrose phosphotransferase system transporter activity	0.000
protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity	0.000
protein-N(PI)-phosphohistidine-galactosamine phosphotransferase system transporter activity	0.000
protein-N(PI)-phosphohistidine-galactitol phosphotransferase system transmembrane transporter activity	0.000
protein-N(PI)-phosphohistidine-cellobiose phosphotransferase system transporter activity	0.000
protein-N(PI)-phosphohistidine-maltose phosphotransferase system transporter activity	0.000
protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity	0.000
protein-N(PI)-phosphohistidine-sorbose phosphotransferase system transporter activity	0.000
protein-N(PI)-phosphohistidine-mannose phosphotransferase system transporter activity	0.000
protein-N(PI)-phosphohistidine-lactose phosphotransferase system transporter activity	0.000
protein-N(PI)-phosphohistidine-sorbitol phosphotransferase system transporter activity	0.000
protein-N(PI)-phosphohistidine-glucose phosphotransferase system transporter activity	0.000
autoinducer-2 kinase activity	0.000
inositol diphosphate tetrakisphosphate kinase activity	0.000
inositol 5-diphosphate pentakisphosphate 5-kinase activity	0.000
phosphatidylinositol bisphosphate kinase activity	0.000
phosphatidylinositol-3,4-bisphosphate 5-kinase activity	0.000
1-phosphatidylinositol-5-kinase activity	0.000
inositol-1,4,5-trisphosphate 3-kinase activity	0.000
inositol tetrakisphosphate 5-kinase activity	0.000
inositol tetrakisphosphate 2-kinase activity	0.000
phosphoglucan, water dikinase activity	0.000
alpha-glucan, water dikinase activity	0.000
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity	0.000
xylitol kinase activity	0.000
viomycin kinase activity	0.000
triokinase activity	0.000
thiamine-diphosphate kinase activity	0.000
taurocyamine kinase activity	0.000
tagatose kinase activity	0.000
T2-induced deoxynucleotide kinase activity	0.000
scyllo-inosamine 4-kinase activity	0.000
ribosylnicotinamide kinase activity	0.000
riboflavin phosphotransferase activity	0.000
pseudouridine kinase activity	0.000
fucokinase activity	0.000
phosphoribokinase activity	0.000
phosphoglycerate kinase (GTP) activity	0.000
phosphoglucokinase activity	0.000
pantetheine kinase activity	0.000
opheline kinase activity	0.000
macrolide 2'-kinase activity	0.000
lombricine kinase activity	0.000
hydroxylysine kinase activity	0.000
hamamelose kinase activity	0.000
guanidinoacetate kinase activity	0.000
glutamate 1-kinase activity	0.000
glucuronokinase activity	0.000
glucose-1-phosphate phosphodismutase activity	0.000
glucose-1,6-bisphosphate synthase activity	0.000
glucosamine kinase activity	0.000
galacturonokinase activity	0.000
formate kinase activity	0.000
farnesyl diphosphate kinase activity	0.000
erythritol kinase activity	0.000
dehydrogluconokinase activity	0.000
D-arabinokinase activity	0.000
butyrate kinase activity	0.000
ATP:2-methylpropanoate phosphotransferase activity	0.000
hypotaurocyamine kinase activity	0.000
beta-glucoside kinase activity	0.000
AMP-thymidine kinase activity	0.000
ammonia kinase activity	0.000
alkylglycerone kinase activity	0.000
alkylglycerol kinase activity	0.000
agmatine kinase activity	0.000
ADP-thymidine kinase activity	0.000
acylglycerol kinase activity	0.000
acetate kinase (diphosphate) activity	0.000
5-dehydro-2-deoxygluconokinase activity	0.000
(deoxy)adenylate kinase activity	0.000
5-methyldeoxycytidine-5'-phosphate kinase activity	0.000
diphosphate-serine phosphotransferase activity	0.000
diphosphate-glycerol phosphotransferase activity	0.000
polyphosphate-glucose phosphotransferase activity	0.000
phosphoramidate-hexose phosphotransferase activity	0.000
acyl-phosphate-hexose phosphotransferase activity	0.000
glycerol-3-phosphate-glucose phosphotransferase activity	0.000
phosphoenolpyruvate-glycerone phosphotransferase activity	0.000
diphosphate-protein phosphotransferase activity	0.000
S-methyl-5-thioribose kinase activity	0.000
gluconokinase activity	0.000
ADP-specific phosphofructokinase activity	0.000
ADP-specific glucokinase activity	0.000
(S)-lactate 2-kinase activity	0.000
adenosylcobinamide kinase activity	0.000
phenol, water dikinase activity	0.000
N2-acetyl-L-aminoadipate kinase activity	0.000
NADH kinase activity	0.000
2-phosphoglycerate kinase activity	0.000
inositol pentakisphosphate 2-kinase activity	0.000
phosphatidylinositol-4,5-bisphosphate 3-kinase activity	0.000
aminoglycoside phosphotransferase activity	0.000
aminoglycoside 6-kinase activity	0.000
streptomycin 3''-kinase activity	0.000
dihydrostreptomycin-6-phosphate 3'-alpha-kinase activity	0.000
kanamycin kinase activity	0.000
hygromycin-B 7''-O-phosphotransferase activity	0.000
fructosamine-3-kinase activity	0.000
GTP-dependent polynucleotide kinase activity	0.000
GTP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity	0.000
polyribonucleotide kinase activity	0.000
ATP-dependent polyribonucleotide 5'-hydroxyl-kinase activity	0.000
GTP-dependent polyribonucleotide 5'-hydroxyl-kinase activity	0.000
nucleoside phosphotransferase activity	0.000
nucleoside phosphate kinase activity	0.000
(deoxy)nucleoside-phosphate kinase activity	0.000
cytidine kinase activity	0.000
nicotinic acid riboside kinase activity	0.000
thymidine kinase activity	0.000
deoxycytidine kinase activity	0.000
deoxyadenosine kinase activity	0.000
diphosphate-purine nucleoside kinase activity	0.000
uridine kinase activity	0.000
adenosine kinase activity	0.000
uridylate kinase activity	0.000
UMP kinase activity	0.000
thymidylate kinase activity	0.000
amino acid kinase activity	0.000
homoserine kinase activity	0.000
glutamate 5-kinase activity	0.000
aspartate kinase activity	0.000
arginine kinase activity	0.000
ribose 1,5-bisphosphate phosphokinase activity	0.000
N-acetylgalactosamine kinase activity	0.000
heptose 7-phosphate kinase activity	0.000
D-ribulokinase activity	0.000
N-acylmannosamine kinase activity	0.000
rhamnulokinase activity	0.000
allose kinase activity	0.000
ribulokinase activity	0.000
L-fuculokinase activity	0.000
2-dehydro-3-deoxygluconokinase activity	0.000
2-dehydro-3-deoxygalactonokinase activity	0.000
phosphofructokinase activity	0.000
diphosphate-fructose-6-phosphate 1-phosphotransferase activity	0.000
1-phosphofructokinase activity	0.000
6-phosphofructo-2-kinase activity	0.000
6-phosphofructokinase activity	0.000
xylulokinase activity	0.000
L-xylulokinase activity	0.000
ribokinase activity	0.000
ketohexokinase activity	0.000
hexokinase activity	0.000
mannokinase activity	0.000
fructokinase activity	0.000
glucokinase activity	0.000
galactokinase activity	0.000
thiamine kinase activity	0.000
inositol 3-kinase activity	0.000
phenol kinase activity	0.000
1-phosphatidylinositol-3-phosphate 4-kinase activity	0.000
1-phosphatidylinositol-4-phosphate 3-kinase activity	0.000
1-phosphatidylinositol-5-phosphate 4-kinase activity	0.000
phytol kinase activity	0.000
histidine phosphotransfer kinase activity	0.000
undecaprenol kinase activity	0.000
thiamine-phosphate kinase activity	0.000
tetraacyldisaccharide 4'-kinase activity	0.000
tagatose-6-phosphate kinase activity	0.000
pyruvate, water dikinase activity	0.000
propionate kinase activity	0.000
polyphosphate kinase activity	0.000
phosphoribulokinase activity	0.000
phosphomethylpyrimidine kinase activity	0.000
inosine kinase activity	0.000
hydroxymethylpyrimidine kinase activity	0.000
